time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:57:04:705,-0.0257,-0.0719,0.0232,0.080
20:57:04:709,0.0005,-0.0696,0.0452,0.083
20:57:04:714,0.0336,-0.0720,0.0504,0.094
20:57:04:719,0.0499,-0.0625,0.0201,0.082
20:57:04:725,0.0731,-0.0483,0.0136,0.089
20:57:04:729,0.0914,0.0037,0.0023,0.091
20:57:04:734,0.0669,0.0151,0.0100,0.069
20:57:04:738,0.0640,0.0289,-0.0014,0.070
20:57:04:745,0.0350,0.0379,0.0062,0.052
20:57:04:748,0.0134,0.0254,0.0162,0.033
20:57:04:753,-0.0151,0.0345,0.0334,0.050
20:57:04:758,-0.0195,0.0246,0.0099,0.033
20:57:04:763,-0.0167,0.0102,0.0151,0.025
20:57:04:767,-0.0425,-0.0136,0.0462,0.064
20:57:04:773,-0.0703,0.0008,0.0391,0.080
20:57:04:776,-0.0647,-0.0109,0.0580,0.088
