time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:43:52:855,-0.0135,-0.2502,0.0691,0.260
20:43:52:866,0.0022,-0.1932,0.0386,0.197
20:43:52:867,0.0392,-0.1247,0.0391,0.136
20:43:52:872,0.0191,-0.0731,0.0181,0.078
20:43:52:874,0.0183,-0.0360,0.0163,0.044
20:43:52:880,0.0081,0.0223,0.0288,0.037
20:43:52:884,-0.0209,0.0540,0.0367,0.069
20:43:52:889,-0.0282,0.0785,0.0447,0.095
20:43:52:895,-0.0520,0.0744,0.0362,0.098
20:43:52:899,-0.0376,0.0774,0.0064,0.086
20:43:52:905,-0.0590,0.0780,0.0054,0.098
20:43:52:909,-0.0707,0.0477,-0.0171,0.087
20:43:52:914,-0.1014,0.0270,-0.0442,0.114
20:43:52:918,-0.0703,0.0063,-0.0475,0.085
20:43:52:924,-0.0633,0.0093,-0.0722,0.097
20:43:52:930,-0.0423,-0.0092,-0.1087,0.117
20:43:52:934,-0.0240,0.0055,-0.1404,0.143
20:43:52:938,0.0273,0.0176,-0.1506,0.154
20:43:52:944,0.0448,0.0343,-0.1750,0.184
20:43:52:948,0.0644,0.0697,-0.2018,0.223
20:43:52:953,0.1053,0.1451,-0.2069,0.274
20:43:52:957,0.1078,0.1867,-0.2311,0.316
20:43:52:967,0.1103,0.2113,-0.2407,0.339
20:43:52:969,0.1010,0.2760,-0.2666,0.397
20:43:52:980,0.0988,0.3116,-0.2733,0.426
20:43:52:980,0.0896,0.2971,-0.2940,0.428
20:43:52:983,0.0803,0.3254,-0.3264,0.468
20:43:52:987,0.0782,0.3319,-0.3372,0.480
20:43:52:995,0.1117,0.3405,-0.3692,0.515
20:43:52:997,0.1115,0.3608,-0.3866,0.540
20:43:53:003,0.1516,0.3523,-0.3895,0.547
20:43:53:008,0.1439,0.3509,-0.3661,0.527
20:43:53:014,0.1837,0.3826,-0.3641,0.559
20:43:53:019,0.1852,0.3806,-0.3571,0.554
20:43:53:021,0.1700,0.4047,-0.3524,0.563
20:43:53:030,0.1550,0.4096,-0.3427,0.556
20:43:53:032,0.1617,0.4287,-0.3257,0.562
20:43:53:035,0.1470,0.4383,-0.3158,0.560
20:43:53:042,0.1040,0.4194,-0.2965,0.524
20:43:53:046,0.1065,0.3842,-0.2845,0.490
20:43:53:051,0.0900,0.3493,-0.2679,0.449
20:43:53:056,0.0998,0.3197,-0.2826,0.438
20:43:53:069,0.0645,0.2715,-0.2809,0.396
20:43:53:070,0.0388,0.2095,-0.2893,0.359
20:43:53:071,0.0275,0.1694,-0.2697,0.320
20:43:53:080,0.0208,0.1368,-0.2437,0.280
20:43:53:080,0.0331,0.0973,-0.2161,0.239
20:43:53:086,0.0334,0.0796,-0.1890,0.208
20:43:53:090,0.0122,0.0359,-0.1577,0.162
20:43:53:095,0.0647,0.0543,-0.1125,0.141
20:43:53:101,0.0480,0.0275,-0.0844,0.101
20:43:53:106,0.0433,0.0389,-0.0612,0.085
20:43:53:110,0.0292,0.0527,-0.0431,0.074
20:43:53:115,0.0034,0.0735,-0.0061,0.074
20:43:53:121,-0.0268,0.0896,0.0237,0.096
20:43:53:125,-0.0519,0.1057,0.0675,0.136
20:43:53:129,-0.0696,0.1194,0.0730,0.156
20:43:53:134,-0.1036,0.1332,0.0856,0.189
20:43:53:139,-0.1469,0.0828,0.0743,0.184
20:43:53:145,-0.1828,0.0375,0.0912,0.208
20:43:53:149,-0.2044,0.0090,0.1077,0.231
20:43:53:154,-0.2497,-0.0195,0.1287,0.282
20:43:53:158,-0.2451,-0.0695,0.1398,0.291
20:43:53:164,-0.2337,-0.1219,0.1675,0.312
20:43:53:168,-0.1941,-0.1410,0.1666,0.292
20:43:53:177,-0.1170,-0.1935,0.1611,0.278
20:43:53:178,-0.0574,-0.2411,0.1795,0.306
20:43:53:188,0.0278,-0.2506,0.1765,0.308
20:43:53:189,0.0837,-0.2602,0.1762,0.325
20:43:53:196,0.1652,-0.2794,0.1857,0.374
20:43:53:197,0.2366,-0.2581,0.1954,0.401
20:43:53:202,0.2506,-0.2274,0.1959,0.391
20:43:53:208,0.2599,-0.1944,0.2038,0.383
20:43:53:213,0.2456,-0.1379,0.2000,0.345
20:43:53:218,0.2411,-0.1029,0.2036,0.332
20:43:53:222,0.2178,-0.0633,0.1931,0.298
20:43:53:227,0.1355,-0.0214,0.1708,0.219
20:43:53:232,0.0967,-0.0201,0.1557,0.184
20:43:53:237,0.0060,-0.0235,0.1763,0.178
20:43:53:242,-0.0388,-0.0411,0.1538,0.164
20:43:53:247,-0.0858,-0.0705,0.1743,0.207
