time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
21:06:08:012,-0.3398,-0.6616,-0.2423,0.782
21:06:08:016,-0.3857,-0.7446,-0.2917,0.888
21:06:08:022,-0.4230,-0.7676,-0.3461,0.942
21:06:08:026,-0.4423,-0.8287,-0.4031,1.022
21:06:08:031,-0.4220,-0.8561,-0.4413,1.052
21:06:08:042,-0.4292,-0.8404,-0.4177,1.032
21:06:08:043,-0.4758,-0.7504,-0.4017,0.975
21:06:08:058,-0.5043,-0.6413,-0.3933,0.906
21:06:08:059,-0.5695,-0.5298,-0.3757,0.864
21:06:08:060,-0.6069,-0.4590,-0.3417,0.834
21:06:08:060,-0.6329,-0.3762,-0.2864,0.790
21:06:08:065,-0.6427,-0.3054,-0.2435,0.752
21:06:08:070,-0.6335,-0.2274,-0.1483,0.689
21:06:08:075,-0.6029,-0.1471,-0.0578,0.623
21:06:08:079,-0.5936,-0.0814,0.0259,0.600
21:06:08:085,-0.6178,-0.0446,0.0911,0.626
21:06:08:089,-0.6468,-0.0462,0.1790,0.673
21:06:08:097,-0.6498,-0.0791,0.2347,0.695
21:06:08:098,-0.6982,-0.1162,0.2685,0.757
21:06:08:106,-0.7562,-0.2172,0.2681,0.831
21:06:08:109,-0.8024,-0.2915,0.2428,0.888
21:06:08:114,-0.8487,-0.3558,0.2022,0.942
21:06:08:119,-0.8618,-0.4125,0.1438,0.966
21:06:08:124,-0.8776,-0.4285,0.0816,0.980
21:06:08:129,-0.8769,-0.4348,0.0250,0.979
21:06:08:134,-0.8576,-0.3889,-0.0122,0.942
21:06:08:138,-0.8624,-0.3172,-0.0610,0.921
21:06:08:143,-0.8297,-0.2816,-0.1144,0.884
21:06:08:150,-0.8402,-0.2652,-0.1462,0.893
21:06:08:154,-0.8439,-0.2299,-0.1708,0.891
21:06:08:167,-0.8146,-0.1757,-0.1602,0.849
21:06:08:168,-0.7688,-0.1053,-0.0578,0.778
21:06:08:169,-0.7493,-0.0330,0.0833,0.755
21:06:08:174,-0.7269,-0.0253,0.2323,0.764
21:06:08:177,-0.7158,-0.0320,0.3510,0.798
21:06:08:183,-0.7064,-0.0552,0.4331,0.830
21:06:08:188,-0.7127,-0.0545,0.4669,0.854
21:06:08:192,-0.7371,-0.0587,0.4673,0.875
21:06:08:197,-0.7558,-0.0629,0.5199,0.919
21:06:08:202,-0.7452,-0.0363,0.6005,0.958
21:06:08:207,-0.7290,0.0066,0.6998,1.011
21:06:08:212,-0.7142,0.0205,0.8009,1.073
21:06:08:215,-0.6981,0.0032,0.8946,1.135
